iter	Passed	Remaining
895	9448	1096
896	9459	1086
897	9470	1075
898	9480	1065
899	9490	1054
900	9501	1043
901	9511	1033
902	9521	1022
903	9532	1012
904	9543	1001
905	9554	991
906	9564	980
907	9575	970
908	9586	959
909	9597	949
910	9607	938
911	9617	928
912	9628	917
913	9638	906
914	9649	896
915	9659	885
916	9670	875
917	9680	864
918	9691	854
919	9701	843
920	9711	833
921	9722	822
922	9733	811
923	9743	801
924	9753	790
925	9763	780
926	9773	769
927	9784	759
928	9794	748
929	9804	738
930	9815	727
931	9825	716
932	9836	706
933	9846	695
934	9856	685
935	9867	674
936	9877	664
937	9888	653
938	9899	643
939	9909	632
940	9920	622
941	9931	611
942	9941	600
943	9951	590
944	9961	579
945	9971	569
946	9982	558
947	9992	548
948	10002	537
949	10012	526
950	10022	516
951	10033	505
952	10043	495
953	10054	484
954	10064	474
955	10074	463
956	10085	453
957	10096	442
958	10106	432
959	10117	421
960	10126	410
961	10137	400
962	10147	389
963	10157	379
964	10168	368
965	10178	358
966	10188	347
967	10199	337
968	10209	326
969	10220	316
970	10230	305
971	10240	295
972	10251	284
973	10262	273
974	10272	263
975	10282	252
976	10292	242
977	10303	231
978	10314	221
979	10324	210
980	10335	200
981	10345	189
982	10355	179
983	10365	168
984	10376	158
985	10387	147
986	10397	136
987	10407	126
988	10417	115
989	10427	105
990	10438	94
991	10448	84
992	10458	73
993	10468	63
994	10479	52
995	10489	42
996	10500	31
997	10510	21
998	10521	10
999	10532	0
